id_cs;uid;chargePointParkingSpaceNumbers;roaming;chargePointPosition;vehicle_type;chargePointPublicComment;parkingsensor_status;id;physical_reference;floor_level;chargingStationPosition
2;303;;False;rechts;four_wheeled;;-;DE*REK*E00025*001;25R;;
2;304;;False;links;four_wheeled;;-;DE*REK*E00025*002;25L;;
3;349;;False;rechts;four_wheeled;;-;DE*REK*E00095*001;95R;;
3;350;;False;links;four_wheeled;;-;DE*REK*E00095*002;95L;;
7;289;;False;rechte Station;four_wheeled;;-;DE*REK*E00103*003;103R;;Wandladestation rechts
7;290;;False;linke Station;four_wheeled;;-;DE*REK*E00104*003;104L;;Wandladestation links
13;128;;False;right;four_wheeled;;-;DE*REK*E00066*001;66R;;
13;129;;False;left;four_wheeled;;-;DE*REK*E00066*002;66L;;
13;20882;;False;rechts;four_wheeled;;-;DE*REK*E00081*001;81R;;
13;20883;;False;links;four_wheeled;;-;DE*REK*E00081*002;81L;;
20;102;;False;right;four_wheeled;;-;DE*REK*E00052*001;52R;;
20;103;;False;left;four_wheeled;;-;DE*REK*E00052*002;52L;;
21;146;;False;right;four_wheeled;;-;DE*REK*E00088*001;88R;;
21;147;;False;left;four_wheeled;;-;DE*REK*E00088*002;88L;;
30;307014;;False;;four_wheeled;;-;DE*REK*E10007*001;;;
30;307016;;False;;four_wheeled;;-;DE*REK*E10008*001;;;
30;307018;;False;;four_wheeled;;-;DE*REK*E10009*001;;;
30;307020;;False;;four_wheeled;;-;DE*REK*E10010*001;;;
30;307022;;False;;four_wheeled;;-;DE*REK*E10011*001;;;
30;307024;;False;;four_wheeled;;-;DE*REK*E10012*001;;;
30;307026;;False;;four_wheeled;;-;DE*REK*E10013*001;;;
30;307028;;False;;four_wheeled;;-;DE*REK*E10014*001;;;
30;307030;;False;;four_wheeled;;-;DE*REK*E10015*001;;;
30;307032;;False;;four_wheeled;;-;DE*REK*E10016*001;;;
43;142;;False;right;four_wheeled;;-;DE*REK*E00085*001;85R;;
43;143;;False;left;four_wheeled;;-;DE*REK*E00085*002;85L;;
49;299;;False;right;four_wheeled;;-;DE*REK*E00046*001;46R;;
49;300;;False;left;four_wheeled;;-;DE*REK*E00046*002;46L;;
69;136;;False;right;four_wheeled;;-;DE*REK*E00080*001;80R;;
69;137;;False;left;four_wheeled;;-;DE*REK*E00080*002;80L;;
73;150;;False;right;four_wheeled;;-;DE*REK*E00090*001;90R;;
73;151;;False;left;four_wheeled;;-;DE*REK*E00090*002;90L;;
76;43;;False;right;four_wheeled;;-;DE*REK*E00020*001;20R;;
76;44;;False;left;four_wheeled;;-;DE*REK*E00020*002;20L;;
84;148;;False;right;four_wheeled;;-;DE*REK*E00089*001;89R;;
84;149;;False;left;four_wheeled;;-;DE*REK*E00089*002;89L;;
89;152;;False;right;four_wheeled;;-;DE*REK*E00091*001;;;
89;153;;False;left;four_wheeled;;-;DE*REK*E00091*002;;;
90;22;;False;right;four_wheeled;;-;DE*REK*E00010*001;10R;;linke Säule
90;23;;False;left;four_wheeled;;-;DE*REK*E00010*002;10L;;linke Säule
90;24;;False;right;four_wheeled;;-;DE*REK*E00011*001;11R;;mittlere Säule
90;25;;False;left;four_wheeled;;-;DE*REK*E00011*002;11L;;mittlere Säule
90;26;;False;right;four_wheeled;;-;DE*REK*E00012*001;12R;;rechte Säule
90;27;;False;left;four_wheeled;;-;DE*REK*E00012*002;12L;;rechte Säule
95;18;;False;right;four_wheeled;;-;DE*REK*E00008*001;8R;Erdgeschoss;
95;19;;False;left;four_wheeled;;-;DE*REK*E00008*002;8L;Erdgeschoss;
100;92;3;False;right;four_wheeled;;-;DE*REK*E00047*001;47R;;
100;93;2;False;left;four_wheeled;;-;DE*REK*E00047*002;47L;;
102;52;;False;right;four_wheeled;;-;DE*REK*E00026*001;26R;;
102;53;;False;left;four_wheeled;;-;DE*REK*E00026*002;26L;;
112;484;;False;links;four_wheeled;;-;DE*REK*E00122*001;122R;;zweite von links
112;485;;False;links;four_wheeled;;-;DE*REK*E00122*002;122L;;zweite von links
112;486;;False;rechts;four_wheeled;;-;DE*REK*E00123*001;123R;;dritte von links
112;487;;False;links;four_wheeled;;-;DE*REK*E00123*002;123L;;dritte von links
112;488;;False;rechts;four_wheeled;;-;DE*REK*E00124*001;124R;;vierte von links
112;489;;False;links;four_wheeled;;-;DE*REK*E00124*002;124L;;vierte von links
112;692;;False;;four_wheeled;;-;DE*REK*E00130*001;130CHA;;links neben Schranke
112;770;;False;;four_wheeled;;-;DE*REK*E00130*002;130CCS;;links neben Schranke
116;285;;False;rechts;four_wheeled;;-;DE*REK*E00083*001;83R;;
116;286;;False;links;four_wheeled;;-;DE*REK*E00083*002;83L;;
119;54;;False;right;four_wheeled;;-;DE*REK*E00027*001;27R;;
119;55;;False;left;four_wheeled;;-;DE*REK*E00027*002;27L;;
119;56;;False;right;four_wheeled;;-;DE*REK*E00028*001;28R;;
119;57;;False;left;four_wheeled;;-;DE*REK*E00028*002;28L;;
120;10;;False;right;four_wheeled;;-;DE*REK*E00004*001;4R;;
120;11;;False;left;four_wheeled;;-;DE*REK*E00004*002;4L;;
123;133;;False;left;four_wheeled;;-;DE*REK*E00068*002;68L;;
125;316;;False;rechts;four_wheeled;;-;DE*REK*E00071*001;71L;;rechte Station
125;317;;False;links;four_wheeled;;-;DE*REK*E00071*002;71R;;rechte Station
141;98;;False;right;four_wheeled;;-;DE*REK*E00050*001;50R;;
141;99;;False;left;four_wheeled;;-;DE*REK*E00050*002;50L;;
142;108;;False;right;four_wheeled;;-;DE*REK*E00055*001;55R;;
142;109;;False;left;four_wheeled;;-;DE*REK*E00055*002;55L;;
146;4;;False;right;four_wheeled;;-;DE*REK*E00001*001;1R;;
146;5;;False;left;four_wheeled;;-;DE*REK*E00001*002;1L;;
148;64;;False;right;four_wheeled;;-;DE*REK*E00032*001;32R;;
148;65;;False;left;four_wheeled;;-;DE*REK*E00032*002;32L;;
155;118;;False;right;four_wheeled;;-;DE*REK*E00061*001;61R;;
155;119;;False;left;four_wheeled;;-;DE*REK*E00061*002;61L;;
167;297;;False;right;four_wheeled;;-;DE*REK*E00048*001;48R;;
167;298;;False;left;four_wheeled;;-;DE*REK*E00048*002;48L;;
172;337;;False;rechts;four_wheeled;;-;DE*REK*E00109*001;109R;;
172;338;;False;links;four_wheeled;;-;DE*REK*E00109*002;109L;;
172;339;;False;rechts;four_wheeled;;-;DE*REK*E00110*001;110R;;
172;340;;False;links;four_wheeled;;-;DE*REK*E00110*002;110L;;
172;341;;False;rechts;four_wheeled;;-;DE*REK*E00111*001;111R;;
172;342;;False;links;four_wheeled;;-;DE*REK*E00111*002;111L;;
177;21845;;False;;four_wheeled;;-;DE*REK*E00160*001;;;
177;21846;;False;;four_wheeled;;-;DE*REK*E00160*002;;;
177;21849;;False;;four_wheeled;;-;DE*REK*E00161*001;;;
177;21850;;False;;four_wheeled;;-;DE*REK*E00161*002;;;
337;50006;;False;;four_wheeled;;-;DE*REK*E00134*001;;;
337;50008;;False;;four_wheeled;;-;DE*REK*E00135*001;;;
337;50010;;False;;four_wheeled;;-;DE*REK*E00136*001;;;
337;50012;;False;;four_wheeled;;-;DE*REK*E00137*001;;;
337;50014;;False;;four_wheeled;;-;DE*REK*E00138*001;;;
337;50016;;False;;four_wheeled;;-;DE*REK*E00139*001;;;
337;50018;;False;;four_wheeled;;-;DE*REK*E00140*001;;;
337;50020;;False;;four_wheeled;;-;DE*REK*E00141*001;;;
