id_cp;id;standard;tariff_id;max_power;voltage;ampere;format;power_type
DE*REK*E00025*001;447;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00025*002;448;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00095*001;494;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00095*002;495;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00103*003;425;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00104*003;426;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00066*001;337;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00066*002;338;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00081*001;581823;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00081*002;581824;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00052*001;240;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00052*001;241;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*REK*E00052*002;243;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00052*002;242;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*REK*E00088*001;325;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00088*002;327;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10007*001;6083790;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10008*001;6083792;IEC_62196_T2;;3;400;16;SOCKET;AC_3_PHASE
DE*REK*E10009*001;6083794;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10010*001;6083796;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10011*001;6083798;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10012*001;6083800;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10013*001;6083802;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10014*001;6083804;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10015*001;6083806;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10016*001;6083808;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E00085*001;304;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00085*002;306;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00046*001;441;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00046*002;442;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00080*001;321;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00080*002;322;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00090*001;280;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00090*002;282;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00020*001;91;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00020*002;93;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00089*001;224;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00089*002;226;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00091*001;310;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00091*002;312;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00010*001;41;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00010*002;46;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00011*001;42;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00011*002;45;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00012*001;48;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00012*002;50;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00008*001;27;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00008*002;29;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00047*001;166;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00047*002;168;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00026*001;95;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00026*001;96;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*REK*E00026*002;97;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00026*002;98;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*REK*E00122*001;681;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00122*002;680;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00123*001;682;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00123*002;683;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00124*001;684;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00124*002;685;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00130*001;1030;CHADEMO;;50;400;125;CABLE;DC
DE*REK*E00130*002;1144;IEC_62196_T2_COMBO;;50;400;175;CABLE;DC
DE*REK*E00083*001;423;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00083*002;424;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00027*001;27730406;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00027*002;116;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00028*001;27730422;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00028*002;27730418;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00004*001;79;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00004*001;80;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*REK*E00004*002;81;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00004*002;82;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*REK*E00068*002;320;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00071*001;466;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00071*002;467;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00050*001;144;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00050*002;142;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00055*001;8;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00055*002;6;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00001*001;1;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00001*002;64;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00032*001;266;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00032*002;265;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00061*001;192;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00061*002;193;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00048*001;439;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00048*002;440;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00109*001;480;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00109*002;481;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00110*001;482;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00110*002;483;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00111*001;484;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00111*002;485;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00160*001;914995;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00160*002;914996;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00161*001;914999;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00161*002;915000;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00134*001;4288748;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00135*001;4288750;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00136*001;4288752;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00137*001;4288754;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00138*001;4288756;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00139*001;4288758;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00140*001;4288760;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00141*001;4288762;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00142*001;4288764;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00143*001;4288766;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00149*001;1158;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00149*002;1159;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00153*001;1208;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00153*002;1209;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00155*001;778174;IEC_62196_T2;;3;230;16;SOCKET;AC_1_PHASE
DE*REK*E00156*001;841146;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00157*001;841147;IEC_62196_T2;;3;230;16;SOCKET;AC_1_PHASE
DE*REK*E00166*001;925615;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00166*002;925616;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10002*001;2516954;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10002*002;2516956;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10001*001;2516962;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10001*002;2516964;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10003*001;4273942;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10003*002;4273944;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10031*001;4962512;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10031*002;4962514;IEC_62196_T2_COMBO;;50;500;125;CABLE;DC
DE*REK*E10031*003;4962516;CHADEMO;;50;500;120;CABLE;DC
DE*REK*E10032*001;6083810;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10032*002;6083812;IEC_62196_T2_COMBO;;50;500;125;CABLE;DC
DE*REK*E10032*003;6083814;CHADEMO;;50;500;120;CABLE;DC
DE*REK*E10017*001;7531486;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10018*001;7531488;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10019*001;7531492;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10020*001;7531500;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10021*001;7531502;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10022*001;7531504;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10023*001;7531506;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10024*001;7531508;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10025*001;7531510;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10026*001;7531512;IEC_62196_T2;;3;400;8;SOCKET;AC_3_PHASE
DE*REK*E10047*001;36848150;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10047*002;36848152;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10048*001;36848154;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10048*002;36848156;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10053*001;43368450;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10053*002;43368452;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10065*001;50884612;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10066*001;50884614;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10067*001;50884616;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10068*001;50884618;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10069*001;50884620;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10070*001;50884622;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10092*001;98505916;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10092*002;98505918;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10076*001;133697590;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10076*002;133697592;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10077*001;142476744;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10077*002;142476746;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E100101*001;198586179;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E100101*002;198586180;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10082*001;189620360;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10082*002;189620361;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10081*001;188515452;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10081*002;188515454;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10083*001;190757536;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10083*002;190757537;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10084*001;190757538;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10084*002;190757539;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10099*001;198586177;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E10099*002;198586178;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E100112*001;207091028;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E100112*002;207091029;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E100105*001;204882488;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E100105*002;204882490;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*REK*E00042*001;192124944;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00042*002;192124945;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00040*001;192124946;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
DE*REK*E00040*002;192124947;IEC_62196_T2;;11;400;16;SOCKET;AC_3_PHASE
